epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.55209,1.38059,4.01407,1.33047,0.02251,0.39109,0.05044,0.03446,1.10119,3.82211,1.10327,0.000190235,0.000190235,0.000190235
2,12.3101,1.16044,3.35423,1.16751,0.03704,0.61768,0.11761,0.08647,1.08268,3.25584,1.18576,0.000378588,0.000378588,0.000378588
3,18.0231,1.14134,2.94095,1.1837,0.23734,0.30727,0.16312,0.11372,1.10986,2.58779,1.22015,0.000559179,0.000559179,0.000559179
4,23.9383,1.13592,2.60402,1.16579,0.29084,0.38238,0.2572,0.17335,1.13452,2.23487,1.23291,0.000553073,0.000553073,0.000553073
5,29.943,1.12025,2.42127,1.16805,0.35286,0.44492,0.26676,0.18976,1.07396,2.42142,1.19238,0.00054143,0.00054143,0.00054143
6,35.7909,1.10139,2.25939,1.1606,0.232,0.45739,0.3005,0.19136,1.09771,2.04225,1.2217,0.000529788,0.000529788,0.000529788
7,41.8787,1.08612,2.15716,1.16185,0.28013,0.52417,0.3323,0.21432,1.01103,1.90629,1.14021,0.000518146,0.000518146,0.000518146
8,47.7152,1.08136,2.09223,1.15374,0.33372,0.54447,0.44152,0.30641,0.99054,1.76632,1.13711,0.000506503,0.000506503,0.000506503
9,53.8536,1.06111,1.98932,1.11995,0.42428,0.54265,0.5108,0.3472,1.01136,1.65701,1.13768,0.000494861,0.000494861,0.000494861
10,59.7305,1.01342,1.9171,1.12547,0.41243,0.60891,0.51488,0.3609,0.97057,1.59281,1.11358,0.000483218,0.000483218,0.000483218
11,65.5256,1.02496,1.88915,1.11939,0.42187,0.56901,0.50825,0.36232,0.97512,1.59169,1.11986,0.000471576,0.000471576,0.000471576
12,71.403,0.98713,1.80935,1.11343,0.49705,0.6141,0.5629,0.38979,0.97427,1.52938,1.12442,0.000459934,0.000459934,0.000459934
13,77.2388,0.98449,1.74768,1.10003,0.49294,0.54999,0.55667,0.38593,0.95322,1.47475,1.10354,0.000448291,0.000448291,0.000448291
14,83.0495,1.01037,1.75018,1.11334,0.63939,0.52137,0.62296,0.44376,0.94394,1.43484,1.09478,0.000436649,0.000436649,0.000436649
15,88.7384,0.94387,1.69166,1.08481,0.57553,0.62872,0.63097,0.45846,0.93032,1.36637,1.09839,0.000425006,0.000425006,0.000425006
16,94.5003,0.93623,1.62436,1.09079,0.55057,0.58584,0.63278,0.46139,0.91841,1.33111,1.08722,0.000413364,0.000413364,0.000413364
17,100.246,0.92414,1.60615,1.08833,0.58017,0.65678,0.65874,0.47398,0.9112,1.24116,1.08368,0.000401722,0.000401722,0.000401722
18,106.058,0.94211,1.59671,1.07606,0.59542,0.63678,0.68729,0.49102,0.91278,1.22828,1.08706,0.000390079,0.000390079,0.000390079
19,111.826,0.93207,1.57211,1.0703,0.55777,0.69105,0.66337,0.48669,0.89725,1.22752,1.06993,0.000378437,0.000378437,0.000378437
20,117.655,0.8788,1.54657,1.06052,0.57222,0.70974,0.68494,0.49238,0.91366,1.17387,1.08135,0.000366794,0.000366794,0.000366794
21,123.533,0.88571,1.51749,1.07109,0.65103,0.673,0.70319,0.5121,0.88062,1.14749,1.06532,0.000355152,0.000355152,0.000355152
22,129.256,0.86605,1.45261,1.05113,0.66246,0.64047,0.73333,0.54507,0.86579,1.12327,1.06394,0.00034351,0.00034351,0.00034351
23,134.967,0.88092,1.47725,1.06656,0.65346,0.6838,0.74125,0.54699,0.86191,1.15747,1.05366,0.000331867,0.000331867,0.000331867
24,140.704,0.86098,1.40505,1.04014,0.73214,0.64827,0.74822,0.55848,0.83931,1.12558,1.05164,0.000320225,0.000320225,0.000320225
25,146.581,0.87377,1.38474,1.04268,0.7266,0.66365,0.74831,0.5655,0.85461,1.12793,1.0441,0.000308582,0.000308582,0.000308582
26,152.361,0.87281,1.35741,1.03331,0.66987,0.71689,0.74735,0.56731,0.857,1.1268,1.04954,0.00029694,0.00029694,0.00029694
27,158.147,0.83515,1.3689,1.04405,0.78993,0.63905,0.77833,0.57199,0.8424,1.04483,1.0471,0.000285298,0.000285298,0.000285298
28,163.888,0.84704,1.35564,1.04403,0.75932,0.71953,0.80682,0.59524,0.85472,0.98696,1.04883,0.000273655,0.000273655,0.000273655
29,169.746,0.86677,1.33162,1.044,0.69852,0.7609,0.7939,0.58143,0.85757,1.00177,1.04948,0.000262013,0.000262013,0.000262013
30,175.506,0.82235,1.30393,1.03003,0.74333,0.77797,0.80569,0.58426,0.86419,0.97804,1.055,0.00025037,0.00025037,0.00025037
31,181.221,0.81555,1.28643,1.0306,0.70547,0.73957,0.79141,0.58237,0.86522,1.02413,1.04968,0.000238728,0.000238728,0.000238728
32,187.22,0.84341,1.31945,1.03144,0.76608,0.73514,0.79549,0.59262,0.85486,1.02422,1.0485,0.000227086,0.000227086,0.000227086
33,193.026,0.82312,1.27478,1.03921,0.74711,0.73232,0.77858,0.58361,0.86284,0.99391,1.05156,0.000215443,0.000215443,0.000215443
